ID,NAME,AGE,DEPARTMENT,SALARY,JOINING DATE,RATING,GRADE,,,,,,
101,Alice,25,HR,50000,1/15/25,4.5,B,,,,,,
102,Bob,30,FINANCE,60000,6/20/24,3.9,B,,,,,,
103,Charlie,45,IT,55000,1/10/25,4.5,C,,,,,,
104,David,40,MARKETING,45000,1/9/24,3.6,C,,,,,,
105,Eve,30,OPERATIONS,70000,10/9/25,3.4,B,,,,,,
,,,,,,,,,,,,,
VLOOKUP,,left to right ➡️,,,,,,,,,,,
id,department,,name,department,,,id,salary,using by lock table $,,,,
102,FINANCE,,Alice,HR,,,102,60000,,,,,
,,,Charlie,IT,,,,,,,,,
Id,joiningdate,,,,,,,,,,,,
102,6/20/24,,,,,,id,department,,,,,
105,10/9/25,,,,,,102,FINANCE,,,,,
,,,,,,,,,,,,,
,,right to left vlookup,,"using by choose({1,2,column list})",,,,,,,,,
,,,,,,,,,,,,,
name,id,,joining_date,name,id,,,,,,,,
david,104,,10/9/25,Eve,105,,,,,,,,
,,,,,,,,,,,,,
,,matach ,count row/col num,,,,,,,,,,
,id,row_num,,col,column _num,,,,,,,,
,103,4,,salary,5,,,,,,,,
,105,6,,,,,,,,,,,
,,,,,,,,,,,,,
,,MATCH + VLOOKUP,,,,here is for show multiple column,,,,,,, 
,id,salary,,,,id,name,salary,department,joining date,,,
,102,60000,,,,105,Eve,70000,OPERATIONS,10/9/25,,,
,,,,,,102,Bob,60000,FINANCE,6/20/24,,,
